fecha_inicio_semana,y_current,y_true_level,y_true_delta,y_true_cls_id,y_pred_cls_id,y_true_cls_label,y_pred_cls_label,selected_feature_count_cls,selected_features_clf,train_class_ids,train_class_labels,proba_baja,proba_se_mantiene,proba_sube
2025-09-01,0.0328375249929476,0.0353374615739687,0.0024999365810211005,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag4,v5_delitos_neto_lag1,v5_obras_neto,sentimiento_medios_lag1,v5_prevencion_neto_lag3,v5_basura_neto,v5_delitos_neto_lag3,v5_corrupcion_neto_lag3,v5_morena_neto,sentimiento_medios_lag4,sentimiento_medios_lag3,v5_agua_neto_lag6,v5_alumbrado_neto_lag3,sentimiento_medios,v5_delitos_neto_lag6,v5_morena_neto_lag3,v5_basura_neto_lag4,v5_prevencion_neto_lag5,v5_alumbrado_neto_lag1,y_t_aceptacion_digital_lag6,v5_alumbrado_neto_lag6,y_t_aceptacion_digital_lag1,v5_americo_neto,v5_obras_neto_lag2,v5_vialidad_neto_lag5,v5_obras_neto_lag1,v5_vialidad_neto_lag4","1,2","se_mantiene,sube",0.0,0.9853446868668553,0.014655313133144702
2025-09-08,0.0750438311217277,0.037083177521204,-0.037960653600523704,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag4,v5_delitos_neto_lag1,v5_obras_neto,sentimiento_medios_lag1,v5_basura_neto,v5_prevencion_neto_lag3,v5_delitos_neto_lag3,v5_corrupcion_neto_lag3,v5_morena_neto,sentimiento_medios_lag4,sentimiento_medios_lag3,v5_agua_neto_lag6,sentimiento_medios,v5_delitos_neto_lag6,v5_alumbrado_neto_lag3,v5_prevencion_neto_lag5,v5_morena_neto_lag3,v5_alumbrado_neto_lag1,y_t_aceptacion_digital_lag6,v5_basura_neto_lag4,v5_americo_neto,y_t_aceptacion_digital_lag1,v5_obras_neto_lag2,v5_alumbrado_neto_lag6,v5_vialidad_neto_lag5,v5_vialidad_neto_lag4,v5_obras_neto_lag1","1,2","se_mantiene,sube",0.0,0.9995450251788875,0.0004549748211124446
2025-09-15,0.244150207322864,0.0408302409621366,-0.20331996636072738,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_alumbrado_neto_lag2,v5_delitos_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_basura_neto,v5_prevencion_neto_lag3,v5_delitos_neto_lag3,v5_corrupcion_neto_lag3,v5_morena_neto,sentimiento_medios_lag4,sentimiento_medios_lag3,v5_agua_neto_lag6,sentimiento_medios,v5_delitos_neto_lag6,v5_alumbrado_neto_lag3,v5_morena_neto_lag3,v5_prevencion_neto_lag5,v5_alumbrado_neto_lag1,y_t_aceptacion_digital_lag6,v5_americo_neto,v5_obras_neto_lag2,v5_vialidad_neto_lag5,v5_alumbrado_neto_lag6,y_t_aceptacion_digital_lag1,v5_obras_neto_lag1,v5_obras_neto_lag6,v5_obras_neto_lag3","1,2","se_mantiene,sube",0.0,0.9995717246198175,0.00042827538018248325
2025-09-22,0.0353374615739687,-0.0316621893348032,-0.0669996509087719,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_alumbrado_neto_lag2,v5_obras_neto,v5_delitos_neto_lag1,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_basura_neto,v5_morena_neto,v5_prevencion_neto_lag3,v5_delitos_neto_lag3,v5_corrupcion_neto_lag3,sentimiento_medios_lag4,sentimiento_medios,v5_agua_neto_lag6,sentimiento_medios_lag3,v5_vialidad_neto_lag5,v5_alumbrado_neto_lag3,v5_delitos_neto_lag6,v5_obras_neto_lag1,v5_americo_neto,v5_obras_neto_lag6,v5_obras_neto_lag3,v5_prevencion_neto_lag6,v5_morena_neto_lag3,v5_obras_neto_lag2,v5_prevencion_neto,v5_alumbrado_neto_lag6,y_t_aceptacion_digital_lag1,v5_vialidad_neto_lag1","1,2","se_mantiene,sube",0.0,0.9901450003659228,0.009854999634077188
2025-09-29,0.037083177521204,0.167412720914919,0.130329543393715,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_obras_neto,v5_delitos_neto_lag1,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_prevencion_neto_lag3,v5_morena_neto,v5_basura_neto,v5_delitos_neto_lag3,v5_corrupcion_neto_lag3,sentimiento_medios_lag4,sentimiento_medios,v5_agua_neto_lag6,sentimiento_medios_lag3,v5_vialidad_neto_lag5,v5_alumbrado_neto_lag3,v5_delitos_neto_lag6,v5_obras_neto_lag1,v5_americo_neto,v5_prevencion_neto_lag6,v5_obras_neto_lag2,v5_morena_neto_lag3,v5_prevencion_neto,v5_obras_neto_lag3,v5_obras_neto_lag6,y_t_aceptacion_digital_lag1,v5_basura_neto_lag3,v5_vialidad_neto_lag1","1,2","se_mantiene,sube",0.0,0.9919331487084726,0.00806685129152742
2025-10-06,0.0408302409621366,0.134823580717908,0.0939933397557714,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_alumbrado_neto_lag2,v5_delitos_neto_lag1,v5_obras_neto,sentimiento_medios_lag1,v5_prevencion_neto_lag4,v5_prevencion_neto_lag3,v5_basura_neto,v5_morena_neto,v5_delitos_neto_lag3,sentimiento_medios_lag4,v5_agua_neto_lag6,v5_corrupcion_neto_lag3,sentimiento_medios_lag3,sentimiento_medios,v5_vialidad_neto_lag5,v5_alumbrado_neto_lag3,v5_delitos_neto_lag6,v5_obras_neto_lag1,v5_americo_neto,v5_obras_neto_lag2,y_t_aceptacion_digital_lag1,v5_obras_neto_lag6,v5_prevencion_neto_lag6,v5_prevencion_neto,v5_morena_neto_lag3,v5_morena_neto_lag2,v5_vialidad_neto_lag3,y_t_aceptacion_digital_lag6","1,2","se_mantiene,sube",0.0,0.9929710010395448,0.007028998960455223
2025-10-13,-0.0316621893348032,0.170657905569605,0.2023200949044082,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_alumbrado_neto_lag2,v5_delitos_neto_lag1,v5_obras_neto,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_basura_neto,v5_prevencion_neto_lag3,v5_delitos_neto_lag3,v5_morena_neto,sentimiento_medios_lag4,v5_corrupcion_neto_lag3,sentimiento_medios_lag3,v5_agua_neto_lag6,v5_vialidad_neto_lag5,v5_alumbrado_neto_lag3,sentimiento_medios,v5_obras_neto_lag1,v5_delitos_neto_lag6,v5_americo_neto,v5_obras_neto_lag2,y_t_aceptacion_digital_lag1,v5_morena_neto_lag3,v5_prevencion_neto_lag6,v5_obras_neto_lag6,y_t_aceptacion_digital_lag4,v5_obras_neto_lag3,v5_morena_neto_lag2,v5_corrupcion_neto_lag2","1,2","se_mantiene,sube",0.0,0.9907737532591018,0.009226246740898243
2025-10-20,0.167412720914919,0.0692562741764684,-0.09815644673845059,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_obras_neto,v5_alumbrado_neto_lag2,v5_delitos_neto_lag1,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_basura_neto,v5_delitos_neto_lag3,v5_morena_neto,sentimiento_medios_lag4,v5_prevencion_neto_lag3,sentimiento_medios_lag3,v5_corrupcion_neto_lag3,v5_agua_neto_lag6,v5_alumbrado_neto_lag3,v5_vialidad_neto_lag5,sentimiento_medios,v5_obras_neto_lag2,v5_delitos_neto_lag6,v5_americo_neto,y_t_aceptacion_digital_lag1,v5_obras_neto_lag1,v5_vialidad_neto_lag3,v5_prevencion_neto_lag6,v5_basura_neto_lag3,v5_obras_neto_lag6,v5_obras_neto_lag3,v5_morena_neto_lag2,v5_prevencion_neto_lag1","1,2","se_mantiene,sube",0.0,0.9972729154958491,0.0027270845041509574
2025-10-27,0.134823580717908,0.218016998769719,0.08319341805181099,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_obras_neto,v5_alumbrado_neto_lag2,v5_delitos_neto_lag1,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_basura_neto,v5_morena_neto,v5_delitos_neto_lag3,v5_prevencion_neto_lag3,sentimiento_medios_lag4,v5_corrupcion_neto_lag3,sentimiento_medios_lag3,v5_alumbrado_neto_lag3,v5_agua_neto_lag6,sentimiento_medios,v5_vialidad_neto_lag5,v5_obras_neto_lag2,v5_americo_neto,v5_delitos_neto_lag6,v5_obras_neto_lag1,v5_obras_neto_lag6,v5_prevencion_neto_lag6,y_t_aceptacion_digital_lag1,v5_vialidad_neto_lag3,v5_basura_neto_lag3,v5_morena_neto_lag4,v5_corrupcion_neto_lag5,v5_prevencion_neto_lag1","1,2","se_mantiene,sube",0.0,0.9991230789940042,0.0008769210059957514
2025-11-03,0.170657905569605,0.12751595957534,-0.04314194599426499,1,1,se_mantiene,se_mantiene,30,"v5_corrupcion_neto,v5_delitos_neto,v5_delitos_neto_lag1,v5_alumbrado_neto_lag2,v5_obras_neto,v5_prevencion_neto_lag4,v5_basura_neto,sentimiento_medios_lag1,v5_delitos_neto_lag3,v5_morena_neto,sentimiento_medios_lag4,v5_prevencion_neto_lag3,sentimiento_medios_lag3,v5_corrupcion_neto_lag3,v5_alumbrado_neto_lag3,v5_agua_neto_lag6,sentimiento_medios,v5_obras_neto_lag2,v5_obras_neto_lag1,v5_vialidad_neto_lag5,v5_delitos_neto_lag6,v5_americo_neto,v5_prevencion_neto_lag6,v5_obras_neto_lag6,v5_vialidad_neto_lag3,y_t_aceptacion_digital_lag1,v5_morena_neto_lag4,v5_basura_neto_lag3,v5_agua_neto_lag3,v5_morena_neto_lag3","1,2","se_mantiene,sube",0.0,0.9902054102656295,0.00979458973437056
